goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min,engName.1,chiName.1,Name.1,engName,chiName,Name,Code,Color
g20,https://img.xinxinapp.net/community/imgs/20190701/9dc5aa17ca67b0091a56ff6a88fd7dad_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #093/黑色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pYQ6&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pYQ6,0.0,#093/黑色,https://img.xinxinapp.net/community/imgs/20190701/1d2a512caf70628745a4681a88650320_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,093,黑色
g20,https://img.xinxinapp.net/community/imgs/20190701/cc85f4e22548f42574655584a8f6db96_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #593/棕色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JO3G&goods_id=g20&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JO3G,0.0,#593/棕色,https://img.xinxinapp.net/community/imgs/20190701/9fbde2fcf16269e5af8ceb919c03c887_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,220.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,593,棕色
oa39,https://img.xinxinapp.net/community/imgs/20191104/f722809568340a51fc21873abd3f9a59_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #灰褐色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7g7D&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,7g7D,0.0,#灰褐色,https://img.xinxinapp.net/community/imgs/20191104/11dc3b4a78644ceb9fea9e61dd14aa20_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,灰褐色
oa39,https://img.xinxinapp.net/community/imgs/20191104/b7c5ed399fa902eda7cc6e4bd2ad7d9e_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #红棕色03,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5e8N&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5e8N,0.0,#红棕色03,https://img.xinxinapp.net/community/imgs/20191104/ff22e2263b568cd3a324dd16d77f48f4_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,红棕色03
oa39,https://img.xinxinapp.net/community/imgs/20191104/164926a47368f9837fa1468f996f9b81_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #灰墨兰,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=zVbJ&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,zVbJ,0.0,#灰墨兰,https://img.xinxinapp.net/community/imgs/20191104/fc4102119a6b18c1a15bd2694adf837e_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,灰墨兰
oa39,https://img.xinxinapp.net/community/imgs/20191104/f0566e7cc7b21254a679c7c7a6b8ee14_382x382.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #亚麻色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=bRer&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,bRer,0.0,#亚麻色,https://img.xinxinapp.net/community/imgs/20191104/4108617c4aad6f945e480cc7db38f2af_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,亚麻色
oa39,https://img.xinxinapp.net/community/imgs/20191104/f8b8afcdffbc86de8e687afb8a8f519d_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #焦糖橙,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=RrEl&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,RrEl,0.0,#焦糖橙,https://img.xinxinapp.net/community/imgs/20191104/1ed73fb508fe5feb50d9f04e712d0483_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,焦糖橙
oa39,https://img.xinxinapp.net/community/imgs/20191104/639fdf8f337070b022d3e7810ed78fca_388x388.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #勃艮第红,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=0dKR&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,0dKR,0.0,#勃艮第红,https://img.xinxinapp.net/community/imgs/20191104/28b250e77f83fdf1f7c2531edc8f5764_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,勃艮第红
oa39,https://img.xinxinapp.net/community/imgs/20191104/e6b595ddede17daad160d67d7b32ed0a_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #栗棕色07,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=PKGx&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,PKGx,0.0,#栗棕色07,https://img.xinxinapp.net/community/imgs/20191104/3d0ccf3343e02c1632e58473ed6fef39_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,栗棕色07
oa39,https://img.xinxinapp.net/community/imgs/20191104/2005d1474bc2cdffd47e9ffb263801c6_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #烟熏粉,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=x50k&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,x50k,0.0,#烟熏粉,https://img.xinxinapp.net/community/imgs/20191104/944578ad2adfbcce0c2c3cbc1c2990be_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,烟熏粉
oa39,https://img.xinxinapp.net/community/imgs/20191104/9f6ef08741e438df9d8144f648a3aa59_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #玫瑰棕,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=9ePr&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,9ePr,0.0,#玫瑰棕,https://img.xinxinapp.net/community/imgs/20191104/1a89b7611dc074862588fa72c0be89d5_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,玫瑰棕
oa39,https://img.xinxinapp.net/community/imgs/20191104/ee2bd7143f051c96dfd8c57416114d5f_500x500.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 自动砍刀眉笔 #亚麻青,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=NQVN&goods_id=oa39&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,NQVN,0.0,#亚麻青,https://img.xinxinapp.net/community/imgs/20191104/e57fc1b6b485fbf4b4639714b467a532_200x200.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,260.0,--,0.0,shu uemura,植村秀,自动砍刀眉笔,shu uemura,植村秀,自动砍刀眉笔,,亚麻青
7vJq,https://img.xinxinapp.net/community/imgs/20191107/4b7a3a4bee53dc297eb7d566eb164464_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #453,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=kY2B&goods_id=7vJq&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,kY2B,0.0,#453,https://img.xinxinapp.net/community/imgs/20191104/ed3a563461eb51fa266260cbf2ceb630_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,215.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,453,
7vJq,https://img.xinxinapp.net/community/imgs/20191107/8894d6fa32ddd0bd45bba411ef774c36_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #593,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=K18Y&goods_id=7vJq&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,K18Y,0.0,#593,https://img.xinxinapp.net/community/imgs/20191104/5d58279a4c3c6484cd13df373c138e0a_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,215.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,593,
7vJq,https://img.xinxinapp.net/community/imgs/20191107/7829e06a335ec41d831a12860dc1ad8a_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 眉笔 #093,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Aa7y&goods_id=7vJq&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Aa7y,0.0,#093,https://img.xinxinapp.net/community/imgs/20191104/5e3da0c24bcebc2cb352471011847071_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,215.0,--,0.0,DIOR,迪奥,眉笔,DIOR,迪奥,眉笔,093,
ZLo,https://img.xinxinapp.net/community/imgs/20190926/86e30a7f81821e24a735fec2a74a5f8c_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #09/灰褐色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=OE3K&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,OE3K,65.0,#09/灰褐色,https://img.xinxinapp.net/community/imgs/20190926/3b7ab2fe241af6ad0601ff80bd4a4d7c_41x38.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,--,0.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,09,灰褐色
ZLo,https://img.xinxinapp.net/community/imgs/20190926/e521acd03045eb63b0631827277f6198_600x600.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #01/黑色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pYww&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pYww,65.0,#01/黑色,https://img.xinxinapp.net/community/imgs/20190926/0a1fcfc1b5df71cf8e6948ad0a5cf386_44x46.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,--,0.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,01,黑色
ZLo,https://img.xinxinapp.net/community/imgs/20190926/d86c2931fac9aef1f8a53bc35e75662f_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #12/浅栗色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=3LER&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,3LER,65.0,#12/浅栗色,https://img.xinxinapp.net/community/imgs/20190926/19063000e56e8c622b1f411932e20c5d_42x42.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,--,0.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,12,浅栗色
ZLo,https://img.xinxinapp.net/community/imgs/20190926/9654934d6fcb8b2e07a78a2194f4857b_700x700.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,shu uemura/植村秀 经典砍刀眉笔 #亚麻青,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=AzJA&goods_id=ZLo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,AzJA,65.0,亚麻青,https://img.xinxinapp.net/community/imgs/20190926/59a03058b93b8a5e3fdace1da516eaa5_43x43.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,200.0,--,0.0,shu uemura,植村秀,经典砍刀眉笔,shu uemura,植村秀,经典砍刀眉笔,,亚麻青
